
Lake Dallas		7105		8063		13.48%
Lake Jackson		26849		27220		1.38%
Lakeport		974		996		2.26%
Lakeside		312		303		-2.88%
Lakeside		1307		1593		21.88%
Lakeside City		997		957		-4.01%
Lake Tanglewood		796		886		11.31%
Lakeview		107		95		-11.21%
Lakeway		11391		15981		40.29%
Lakewood Village		545		964		76.88%
Lake Worth		4584		4896		6.81%
La Marque		14509		17319		19.37%
Lamesa		9422		9147		-2.92%
Lampasas		6681		7982		19.47%
Lancaster		36361		39228		7.88%
La Porte		33800		34976		3.48%
Laredo		236091		262491		11.18%
Latexo		322		314		-2.48%
La Vernia		1034		1428		38.10%
La Villa		1957		2870		46.65%
Lavon		2219		3724		67.82%
La Ward		213		224		5.16%
Lawn		314		321		2.23%
League City		83560		107536		28.69%
Leakey		425		438		3.06%
Leander		26521		62608		136.07%
Leary		495		502		1.41%
Lefors		497		480		-3.42%
Leona		175		180		2.86%
Leonard		1990		2054		3.22%
Leon Valley		10151		12306		21.23%
Leroy		337		346		2.67%
Levelland		13542		13502		-0.30%
Lewisville		95290		109212		14.61%
Lexington		1177		1222		3.82%
Liberty		8397		9314		10.92%
Liberty Hill		967		2931		203.10%
Lincoln Park		308		558		81.17%
Lindale		4818		6464		34.16%
Linden		1988		1915		-3.67%
Lindsay		1018		1149		12.87%
Lipan		430		488		13.49%
Little Elm		25898		53126		105.14%
Littlefield		6372		5843		-8.30%
Little River-Academy		1961		2038		3.93%
Live Oak		13131		16499		25.65%
Liverpool		482		551		14.32%
Livingston		5335		5242		-1.74%
Llano		3232		3497		8.20%
Lockhart		12698		14133		11.30%
Lockney		1842		1631		-11.45%
Log Cabin		714		772		8.12%
Lometa		856		861		0.58%
Lone Oak		598		692		15.72%
Lone Star		1581		1482		-6.26%
Longview		80455		81631		1.46%
Loraine		602		564		-6.31%
Lorena		1691		1755		3.78%
Lorenzo		1147		1138		-0.78%
Los Fresnos		5542		7837		41.41%
Los Indios		1083		1060		-2.12%
Los Ybanez		19		19		0.00%
Lott		759		742		-2.24%
Lovelady		649		627		-3.39%
Lowry Crossing		1711		1727		0.94%
Lubbock		229573		258862		12.76%
Lucas		5166		8553		65.56%
Lueders		346		333		-3.76%
Lufkin		35067		35021		-0.13%
Luling		5411		5869		8.46%
Lumberton		11943		13073		9.46%
Lyford		2611		2540		-2.72%
Lytle		2492		3066		23.03%
Mabank		3035		3995		31.63%
McAllen		129877		143268		10.31%
McCamey		1887		2060		9.17%
McGregor		4987		5331		6.90%
McKinney		131117		199177		51.91%
McLean		778		744		-4.37%
McLendon-Chisholm		1373		3455		151.64%
Madisonville		4396		4685		6.57%
Magnolia		1393		2093		50.25%
Malakoff		2324		2301		-0.99%
Malone		269		283		5.20%
Manor		5037		13866		175.28%
Mansfield		56368		72419		28.48%
Manvel		5179		12671		144.66%
Marble Falls		6077		7038		15.81%
Marfa		1981		1625		-17.97%
Marietta		134		129		-3.73%
Marion		1066		1241		16.42%
Marlin		5967		5581		-6.47%
Marquez		263		274		4.18%
Marshall		23523		22831		-2.94%
Mart		2209		1963		-11.14%
Martindale		1116		1231		10.30%
Mason		2114		2305		9.04%
Matador		607		611		0.66%
Mathis		4942		4715		-4.59%
Maud		1056		1042		-1.33%
Maypearl		934		1032		10.49%
Meadow		593		585		-1.35%
Meadowlakes		1777		1703		-4.16%
Meadows Place		4660		4591		-1.48%
Megargel		203		188		-7.39%
Melissa		4695		12117		158.08%
Melvin		178		168		-5.62%
Memphis		2290		2012		-12.14%
Menard		1471		1404		-4.55%
Mercedes		15570		16604		6.64%
Meridian		1493		1515		1.47%
Merkel		2590		2617		1.04%
Mertens		125		128		2.40%
Mertzon		781		743		-4.87%
Mesquite		139824		140937		0.80%
Mexia		7459		7344		-1.54%
Miami		597		550		-7.87%
Midland		111147		146038		31.39%
Midlothian		18037		33532		85.91%
Midway		228		236		3.51%
Milano		428		421		-1.64%
